 What was not there before.

Bend to the floor, pick up the candle, hold it before you. Say:

I conjure thee, O Spirit, who enters here.

Say:

I conjure thee, O Spirit, who enters here.

Say:

I conjure thee, O Spirit, who enters here.

By the power of the Highest, I conjure thee, O Spirit, who enters here.

By the power of the Highest, I conjure thee, O Spirit, who enters here.

By the power of the Highest, I conjure thee, O Spirit, who enters here.

By the power of the Highest, I conjure thee, O Spirit, who enters here.

By the power of the Highest, I conjure thee, O Spirit, who enters here.

By the power of the Highest, I conjure thee, O Spirit, who enters here.

By the power of the Highest, I conjure thee, O Spirit, who enters here.

By the power of the Highest, I conjure thee, O Spirit, who enters here.

By the power of the Highest, I conjure thee, O Spirit, who enters here.

By the power of the Highest, I conjure thee, O Spirit, who enters here.

By the
