 The visitor at the door watches. The visitor at the door waits.

The visitor at the door knocks.

Come in.

Come into my circle of power.

Come into my circle of protection.

Come into my circle of knowledge.

Come into my circle of light.

Come into my circle of darkness.

Come into my circle of invocation.

Come into my circle of visitation.

Come into my circle of manifestation.

Come into my circle of revelation.

Come into my circle of creation.

Come into my circle of communion.

Come into my circle of transformation.

Come into my circle of transfiguration.

Come into my circle of transmutation.

Come into my circle of transcendence.

Come into my circle of transmogrification.

Come into my circle of transubstantiation.

Come into my circle of resurrection.

Come into my circle of rebirth.

Come into my circle of renewal.

Come into my circle of restoration.

Come into my circle of reincarnation.

Come into my circle of revelation.

Come into my circle of revolution.

Come into my circle of evolution.

Come into my circle of illumination.

Come into my circle of enlightenment.

Come into my circle of empowerment.

Come into my circle of exaltation.

Come into my circle of exultation.

Come into my circle of ec
