 (Pause)

What enters the room now.

The name of the god.

The name of the god.

The name of the god.

The name of the god.

The name of the god.

The name of the god.

The name of the god.

The name of the god.

The name of the god.

The name of the god.

The name of the god.

The name of the god.

The name of the god.

The name of the god.

The name of the god.

The name of the god.

The name of the god.

The name of the god.

The name of the god.

The name of the god.

The name of the god.

The name of the god.

The name of the god.

The name of the god.

The name of the god.

The name of the god.

The name of the god.

The name of the god.

The name of the god.

The name of the god.

The name of the god.

The name of the god.

The name of the god.

The name of the god.

The name of the god.

The name of the god.

The name of the god.

The name of the god.

The name of the god.

The name of the god.

The name of the god.

