 "The angels of the 28 mansions of the moon, to be called upon in any operation of the moon."

The angels of the 28 Mansions of the Moon, to be called upon in any operation of the Moon.

Mansion 1: Gabriel, Madiel, Deamiel, Janakiel.

2: Bachanael, Zedekiel, Gabril, Muriel.

3: Corat, Michael, Samael.

4: Gediel, Raphael, Seratiel.

5: Sachiel, Samael, Sariel.

6: Schaltiel, Vadriel, Sarfiel.

7: Scheliel, Orely, Rufiel.

8: Amutiel, Barbiel.

9: Ardifiel, Neciriel.

10: Abdizuel, Jazeriel.

11: Ergediel, Atlifiel.

12: Herfiel, Hocroel.

13: Ataliel, Azeruel.

14: Adriel, Azimel.

15: Egibiel, Pasriel.

16: Suceruel, Agusiel.

17: Kiriel, Bethnael.

18: Geliel, Requiel.

19: Azbuga, Hahaziel.

