 “I am a man of flesh and blood, born of woman. I am a man of flesh and blood, born of woman. I am a man of flesh and blood, born of woman.” This he says three times.

The magician says, “If you are a man of flesh and blood, born of woman, stay where you are.”

The visitor at the door says, “I am a man of flesh and blood, born of woman.”

The magician says, “I am a man of flesh and blood, born of woman.”

The visitor says, “I am a man of flesh and blood, born of woman.”

The magician says, “I am a man of flesh and blood, born of woman.”

The visitor says, “I am a man of flesh and blood, born of woman.”

The magician says, “I am a man of flesh and blood, born of woman.”

The visitor says, “I am a man of flesh and blood, born of woman.”

The magician says, “I am a man of flesh and blood, born of woman.”

The visitor says, “I am a man of flesh and blood, born of woman.”

The magician says, “I am a man of flesh and blood, born
