 The visitor says, “I am the one who has come to you. My name is Sopro.”

And I reply, “I am the one who is here.”

Then I ask the visitor, “What is your name?”

And the visitor replies, “My name is Sopro.”

Then I ask, “What is your intention?”

And the visitor replies, “To teach you the mysteries.”

And I ask, “What mysteries?”

And the visitor replies, “The mysteries of the twelvefold world.”

And I ask, “What mysteries of the twelvefold world?”

And the visitor replies, “The mysteries of the twelve powers of the twelvefold world.”

And I ask, “What are the twelve powers of the twelvefold world?”

And the visitor replies, “The twelve powers are the twelve names of the twelve rays of the light.”

And I ask, “What are the twelve names of the twelve rays of the light?”

And the visitor replies, “The twelve names are the twelve words that open the twelve gates.”

And I ask, “What are the twelve gates?”

And the visitor replies, “The twelve gates are the twelve powers.”

And I ask, “What are the twelve powers?”

And the visitor replies, “The twelve powers are the twelve names
