 "When you have spoken these names, you will see wonderful things, such as horses, riders, and other apparitions, but you must not be frightened. Continue to recite these names until the apparitions vanish."

The manuscript contains more than one hundred and forty recipes for various magic spells, including spells to:

* find a thief
* become invisible
* appear to be dead
* stop a dog from barking
* calm a storm at sea
* compel a person to dance
* make a magic sword
* make a magic shield
* make a magic ring
* make a magic mirror
* make a magic belt
* make a magic whistle
* make a magic horn
* make a magic candle
* make a magic carpet
* make a magic staff
* make a magic knife
* make a magic arrow
* make a magic spear
* make a magic cloak
* make a magic shirt
* make a magic hat
* make a magic glove
* make a magic shoe
* make a magic key
* make a magic lock
* make a magic chain
* make a magic ring
* make a magic bracelet
* make a magic necklace
* make a magic earring
* make a magic am
