 The door opens.

## 11.3 The Fourth Key: The Opening of the Fourth Door

The Fourth Key opens the Fourth Door, through which you can pass to the City of the Pyramids.

The ritual begins by following the instructions in the Second Key, except that the invocation of the Governors is replaced by the invocation of the Elemental Kings:

**Elexarpeh, Thantifaxath, Atraakhmbri, and Golohab:**

**By the power of the Elder Gods,**

**And the unutterable names of the Mauve Zone,**

**I call upon you, Elemental Kings,**

**To open the Fourth Door,**

**And grant me passage to the City of the Pyramids.**

After completing the Second Key, the ritual proceeds with the following invocation:

**I have passed through the First Door,**

**And the Second, and the Third.**

**Now I stand before the Fourth Door,**

**The final barrier between me and the City of the Pyramids.**

**By the power of the Elder Gods,**

**And the unutterable names of the Mauve Zone,**

**I call upon the guardians of the Fourth Door:**

**Astrachios, Asac,
