 What stands before you. What will speak to me. What will guide us in this work. What will come through the gates of fire.

Epalos, Epalos, Epalos. Genilum Sopro.

I greet you, spirits of the Ars Goetia, in the names of those who have opened the way.

I greet you, spirits of the Ars Goetia, and I ask that you come to me with friendship and with willingness to communicate.

I greet you, spirits of the Ars Goetia, and I ask that you come to me with honesty and with clear purpose.

I greet you, spirits of the Ars Goetia, and I ask that you come to me with respect and in accordance with the intentions of those who have opened the way.

I greet you, spirits of the Ars Goetia, and I stand before you in the names of those who have opened the way.

I greet you, spirits of the Ars Goetia, and I ask that you engage with me as I engage with you.

I greet you, spirits of the Ars Goetia, and I ask that you work with me as I work with you.

I greet you, spirits of the Ars Goetia, and I ask that
