 “The word is given. Let the way be opened.”

## 48

The door opens. The visitor enters the house.

The visitor says to the man, “I am the one you called. I am the one you seek.”

The man says, “I did not call you. I did not seek you. I do not know who you are.”

The visitor says, “I am the one who is known by many names. I am the one who is sought by many seekers. I am the one who is called by many callers. I am the one who answers the call. I am the one who seeks the seeker. I am the one who knows the knower.”

The man says, “I do not understand.”

The visitor says, “You do not need to understand. You only need to accept.”

The man says, “Accept what?”

The visitor says, “Accept the truth. Accept the reality. Accept the way things are.”

The man says, “What is the truth? What is the reality? What is the way things are?”

The visitor says, “The truth is that which is. The reality is that which exists. The way things are is the way things are.”

The man says, “That is a tautology
