 I listen, then respond.

The visitor at the door speaks. I listen, then respond.

The visitor at the door speaks. I listen, then respond.

The visitor at the door speaks. I listen, then respond.

The visitor at the door speaks. I listen, then respond.

The visitor at the door speaks. I listen, then respond.

The visitor at the door speaks. I listen, then respond.

The visitor at the door speaks. I listen, then respond.

The visitor at the door speaks. I listen, then respond.

The visitor at the door speaks. I listen, then respond.

The visitor at the door speaks. I listen, then respond.

The visitor at the door speaks. I listen, then respond.

The visitor at the door speaks. I listen, then respond.

The visitor at the door speaks. I listen, then respond.

The visitor at the door speaks. I listen, then respond.

The visitor at the door speaks. I listen, then respond.

The visitor at the door speaks. I listen, then respond.

The visitor at the door speaks. I listen, then respond.

The visitor at the door speaks. I listen, then respond.

The visitor at the door speaks. I listen, then respond.

The visitor at
