 "This is the Lord of the Gods:

This is the Lord of the Universe:
This is He who has formed the heavens and earth:
This is the One who created the heaven and earth, and made the mountains:
This is He who is the Truth, and made the stars:

This is He who is the Lord of all things:
This is He who is the God of all things:
This is He who is the Light of all things:
This is He who is the Life of all things:

This is He who is the Love of all things:
This is He who is the Spirit of all things:
This is He who is the Form of all things:
This is He who is the Soul of all things:

This is He who is the Power of all things:
This is He who is the Mind of all things:
This is He who is the Being of all things:
This is He who is the Knowledge of all things:

This is He who is the Unity of all things:
This is He who is the Truth of all things:
This is He who is the Perfection of all things:
This is He who is the Wisdom of all things:

This is He who is the Justice of all things:
This is He who is the Beauty of all things:
