 

Come hither, come hither, O Mighty Angel, OBLIVION!

Hear me: IAO SABAO
Such is the Lord of Gods
This is He Whom the winds fear
This is He, Who having made voice by His commandment
Is the Lord of all things, king, ruler and helper
I am He, Whom the showers of rain fear
I am He, Whom the eyes of mortals fear
I am He, Who dwelleth in the heavens
I am He, Who is not comprehended
I am He, Who is the Witness to all things
I am He, Who is the unconquered demon
I am He, Who is the God of gods
I am He, Who is the Lord of spirits
I am He, Who is the possessor of the secret name
I am He, Who is the one that never dies
I am He, Who is the one that never was
I am He, Who is the one that is ever coming
I am He, Who is the one that is ever going
I am He, Whom no man can know
I am He, Who is the one that is always there
I am He, Who
