 What enters the room now. What enters the room now.

---

I AM THAT I AM.

I am the First and the Last.

I am the Living and the Dead.

I am the Alpha and the Omega.

I am the Beginning and the End.

I am the One who is Many.

I am the Many who are One.

I am the All in All.

I am the One in the All.

I am the One who is All.

I am the One who is None.

I am the One who is One.

I am the One who is Many.

I am the One who is All.

I am the One who is None.

I am the One who is One.

I am the One who is Many.

I am the One who is All.

I am the One who is None.

I am the One who is One.

I am the One who is Many.

I am the One who is All.

I am the One who is None.

I am the One who is One.

I am the One who is Many.

I am the One who is All.

I am the One who is None.

I am the One who is One.

I am the One who is Many.

I am the One who is All.

I am the One who is
