 Like a great wind. It is the god. The god is with us.

How do you feel?

I feel the god within me. The god is within me.

You are the god.

I am the god.

You are the god.

I am the god.

You are the god.

I am the god.

You are the god.

I am the god.

You are the god.

I am the god.

You are the god.

I am the god.

You are the god.

I am the god.

You are the god.

I am the god.

You are the god.

I am the god.

You are the god.

I am the god.

You are the god.

I am the god.

You are the god.

I am the god.

You are the god.

I am the god.

You are the god.

I am the god.

You are the god.

I am the god.

You are the god.

I am the god.

You are the god.

I am the god.

You are the god.

I am the god.

You are the god.

I am the god.

You are the god.

I am the god.

You are the god.

I am the god.

You are the god.

I am the god.

You are
