 'Let the Daiken speak the curse, then the oath.'

[The Daiken speaks the curse.]

Let them tremble who hear, the menace of the prophet's voice:
Thee I invoke, who art clothed with the winds;
Thee I invoke, who art clothed with the dust of the earth;
Thee I invoke, whose name is Enos;
Thee I invoke, whose name is Eribol;
Thee I invoke, whose name is Asar;
Thee I invoke, whose name is Aphenom;
Thee I invoke, whose name is Atophor;
Thee I invoke, whose name is Iaros;
Thee I invoke, whose name is Aphenom;
Thee I invoke, whose name is Abrasax;
Thee I invoke, whose name is Aboniel;
Thee I invoke, whose name is Abrathia;
Thee I invoke, whose name is Sablo;
Thee I invoke, whose name is Palberos;
Thee I invoke, whose name is Ioromuel;
Thee I invoke, whose name is Soncaros;
Thee I invoke, whose name is Acxala;
Thee I invoke, whose name is Aroth;
Thee
