 "The Initiate is now to perform the Grand Circle of the Krelph, and the Spirit should appear unto him. He is then to make the Sign of the Enterer, and say: 'Do thou make true answers unto my demands, and pass from this place without doing harm to me or my companions.'"

### Invocation of the Mrolthen One

The Invocation of the Mrolthen One is found in Chapter XXVII of the Book of Vrelth. It is said to be the most powerful invocation of all, and is used to summon the most powerful spirits.

The text reads:

Mrolth, Mrolth, Mrolth.
Mrolth Krelphoth, Mrolth.
Mrolth Vrendoph, Mrolth.
Mrolth Smelphenor, Mrolth.
Mrolth Vrelphano, Mrolth.
Mrolth Mroph, Mrolth.
Mrolth Plenphor, Mrolth.
Mrolth Vrelphenor, Mrolth.
Mrolth Mrelph, Mrolth.
Mrolth Ven, Mrolth.
Mrolth Mrok, Mrolth.
Mrolth Vrelth, Mrolth.
