 "After this, the student should recite the following:"

I am Vrondh, the prophet of Vrelth.
This is the Lord of the Gods.
This is the Lord of the Universe.
This is He whom the winds fear.
This is He who has made voice by His command.
This is He whose voice the Gods do manifest.
This is He whom heaven and earth and the sea do fear.
This is He through whom the Earth is established.

MPHŌ KRELPHŌTH.

The text concludes with the following prayer:

O Lord, hail, I greet Thee.
O Master of the Water, hail, I greet Thee.
O Master of the Earth, hail, I greet Thee.
O Master of the Whirlwind, hail, I greet Thee.
O Master of the Fire, hail, I greet Thee.
O Maker of Light and Darkness, hail, I greet Thee.
O Maker of Dry and Moist, hail, I greet Thee.
O Maker of Whirling Air, hail, I greet Thee.
O Maker of Raging Fire, hail, I greet Thee.
O Maker of the Foundations of the Earth, hail, I greet Thee.
O Great One who is the
