 He says, "It is I who begets and destroys."

I ask, "Who are you?"

He responds, "I am the Grace of the World."

I ask, "Why are you here?"

He responds, "I am here to make all spirits subject unto me, so that every spirit of the firmament and of the ether, upon the earth and under the earth, on dry land and in the water, of whirling air and of rushing fire, and every spell and scourge of God may be obedient unto me."

I ask, "Why do you wish to do this?"

He responds, "I am the Truth that hates the deeds of injustice in the world."

I ask, "What will you do once you have made all spirits subject unto you?"

He responds, "I will bring balance to the world, distinguishing between the just and the unjust, forming men to love one another and to hate one another, producing the moist and the dry, and that which nourisheth all created life."

I ask, "How do I know you are who you say you are?"

He responds, "I am Vrondh, the prophet of Vrelthemphos, whom no man hath seen at any time. I am the Angel of
