The first name is **Throvenios**.  

The second is **Mareth**.  

The third is **Quelimon**.  

The fourth is **Iskon**.  

The fifth is **Kerodim**.  

The sixth is **Astrelach**.  

The seventh is **Volmaroth**.  

The eighth is **Drabasaim**.  

The ninth is **Olempraem**.  

The tenth is **Crisilim**.  

The eleventh is **Bidromael**.  

The twelfth is **Octaron**.  

The thirteenth is **Saphrenoth**.  

The fourteenth is **Yodalim**.  

The fifteenth is **Iathreon**.  

The sixteenth is **Mirzabet**.  

The seventeenth is **Calenuph**.  

The eighteenth is **Theomarach**.  

The nineteenth is **Belendath**.  

The twentieth is **Glamoreth**.  

The twenty-first is **Sinabaroth**.  

The twenty-second is **Hialep**.  

The twenty-third is **Trifonath**.  

The twenty-fourth is **Olomar**.  

The twenty-fifth is **Vesperath**.  

The twenty-sixth is **Khalapeth**.  

The twenty-seventh is **Est
