 What enters the room.

---

My love, my light, my life, my breath.

My love, my light, my life, my breath.

My love, my light, my life, my breath.

My love, my light, my life, my breath.

My love, my light, my life, my breath.

My love, my light, my life, my breath.

My love, my light, my life, my breath.

My love, my light, my life, my breath.

My love, my light, my life, my breath.

My love, my light, my life, my breath.

My love, my light, my life, my breath.

My love, my light, my life, my breath.

My love, my light, my life, my breath.

My love, my light, my life, my breath.

My love, my light, my life, my breath.

My love, my light, my life, my breath.

My love, my light, my life, my breath.

My love, my light, my life, my breath.

My love, my light, my life, my breath.

My love, my light, my life, my breath.

My love, my light, my life, my
