 “I am the one you have been seeking.”

“Then come in,” I say. “The threshold is open.”

---

I am not the one who will save you.

I am not the one who will save you.

I am not the one who will save you.

I am not the one who will save you.

I am not the one who will save you.

I am not the one who will save you.

I am not the one who will save you.

I am not the one who will save you.

I am not the one who will save you.

I am not the one who will save you.

I am not the one who will save you.

I am not the one who will save you.

I am not the one who will save you.

I am not the one who will save you.

I am not the one who will save you.

I am not the one who will save you.

I am not the one who will save you.

I am not the one who will save you.

I am not the one who will save you.

I am not the one who will save you.

I am not the one who will save you.

I am not the one who will save you.

I am not the one who will save you.

I
