 They ask the host, "Are you the one who names and unnames?"

The host replies, "I am the one who names and unnames. I am the Witness of the Word."

The visitor asks, "Do you possess the unburnt fire?"

The host replies, "I am the Threshold-Bearer, who possesses the unburnt fire."

The visitor asks, "Do you have sight in the syllable?"

The host replies, "I am the Vessel with sight in the syllable."

The visitor asks, "Are you the one who survives the speaker?"

The host replies, "I am the Echo that survives the speaker."

The visitor asks, "Are you the one whose silence utterly speaks?"

The host replies, "I am the one whose silence utterly speaks."

The visitor asks, "What is the name of the Unnamed One?"

The host replies, "The Unnamed One is Phorbamenes APHRYBETESH."

The visitor asks, "What is the name of the Witness of the Word?"

The host replies, "The Witness of the Word is SEKHTHOROBA ABLAKHIRIM."

The visitor asks, "What is the word of power?"

The host replies, "The word of
