 They say, "I am no one."

The visitor at the door speaks. They say, "I am the one who is not."

The visitor at the door speaks. They say, "I am the one who has no name."

The visitor at the door speaks. They say, "I am the one who has no voice."

The visitor at the door speaks. They say, "I am the one who has no form."

The visitor at the door speaks. They say, "I am the one who is not here."

The visitor at the door speaks. They say, "I am the one who is not there."

The visitor at the door speaks. They say, "I am the one who is not anywhere."

The visitor at the door speaks. They say, "I am the one who is nowhere."

The visitor at the door speaks. They say, "I am the one who is nothing."

The visitor at the door speaks. They say, "I am the one who is no thing."

The visitor at the door speaks. They say, "I am the one who is not a thing."

The visitor at the door speaks. They say, "I am the one who is not anything."

The visitor at the door speaks. They say
