 They say, "We are the Witnesses of the Word."

The priest says, "You are welcome in this space."

The visitor says, "We bear witness to your invocation."

The priest says, "Let the record show."

The visitor says, "We have come to this place to witness the Word. What word do you wish to speak?"

The priest says, "We have gathered here today to witness the Word of the Atheraphol, the Word that names and unnames, the Word that creates and destroys, the Word that remembers and forgets."

The visitor says, "We are ready to witness this Word. Speak it, and let it be known."

The priest says, "The Word is Phelonipta."

The visitor says, "We have witnessed the Word. Let it be recorded."

The priest says, "Let the record show that the Word has been spoken and witnessed."

The visitor says, "The Word has been spoken. The Word has been witnessed. The Word has been recorded. The ceremony is complete."

The priest says, "Thank you for bearing witness to our ceremony."

The visitor says, "We are honored to have witnessed the Word. May it echo through the ages."

The priest says, "Go in peace, Witnesses
