 They say, "That's a mouthful."

You say, "I'm not sure why I said all that. I didn't even know I knew it. It just... came out."

The visitor at the door speaks. They say, "Well, I'm just looking for the person who lives here. Do you know where they are?"

You say, "I'm not sure. I can't remember anything before I woke up here. But if you're looking for the person who lives here, maybe that's me?"

The visitor at the door speaks. They say, "I don't think so. The person I'm looking for is named Selophemor."

You say, "Selophemor? That name sounds familiar. I think I said it just a moment ago, in that... incantation, or whatever it was."

The visitor at the door speaks. They say, "Yeah, you did. You said 'I am Selophemor thy prophet.' What did you mean by that?"

You say, "I don't know. Like I said, I don't remember anything before I woke up here. I don't know why I said that."

The visitor at the door speaks. They say, "Well, if you
