 She says, "I am the one who names and unnames."

The host says, "Come in, then."

The visitor enters. She carries a lantern, and its light fills the room. She sits at the table.

The host says, "You are the one who names and unnames."

The visitor says, "I am."

The host says, "What are you doing here?"

The visitor says, "I am the Witness of the Word."

The host says, "Why have you come here?"

The visitor says, "I have come to bear witness."

The host says, "To what?"

The visitor says, "To the Word."

The host says, "Which word?"

The visitor says, "The word that is spoken and unspoken, the word that is named and unnamed."

The host says, "What is this word?"

The visitor says, "It is the word that creates and destroys, the word that binds and unbinds."

The host says, "Why is this word important?"

The visitor says, "Because it is the word that is the beginning and the end, the word that is the alpha and the omega."

The host says, "And what will you do with this word?"

The visitor says, "I will
