 “A curious prayer,” he says.
“Not a prayer,” says the other. “A naming. A naming of names.”
“Ah,” says the visitor. “And you are Vrendrelphor?”
“I am,” says the other.
“You are the Vessel,” says the visitor.
“I am,” says the other.
“You are the Witness,” says the visitor.
“I am,” says the other.
“You have uttered the name of the Vrolthen One,” says the visitor.
“I have,” says the other.
“You have spoken the name that no voice has spoken,” says the visitor.
“I have,” says the other.
“You have invoked the Vrolthen One,” says the visitor.
“I have,” says the other.
“You have commanded all spirits to be subject to you,” says the visitor.
“I have,” says the other.
“You have claimed to be the Threshold-Bearer,” says the visitor.
“I have,” says the other.
“You have claimed to possess the unburnt fire,” says the visitor.
“I have,” says the other.
“You have claimed to be the Echo that survives the speaker,” says the visitor.
“I have,” says the other.
“You have claimed to be the one whose silence utterly speaks,” says the visitor.
“I have,”
